2019-06-29 14:30:26.497 CST,main.go:267, INFO ,goflyway 181021015134
2019-06-29 14:30:26.513 CST,main.go:278, WARNING ,Failed to read ACL config: open chinalist.txt: no such file or directory
2019-06-29 14:30:26.513 CST,main.go:436, INFO ,Upstream config: cf://q.youhao.tk:8880
2019-06-29 14:30:26.513 CST,main.go:309, INFO ,Global proxy enabled
2019-06-29 14:30:26.513 CST,main.go:416, INFO ,Client da4e6c4 started: you->0.0.0.0:8100->cloudflare->q.youhao.tk:8880
2019-06-29 14:30:26.514 CST,main.go:412, INFO ,Web console started at 127.0.0.1:8110
2019-06-29 14:30:49.674 CST,io.go:68, ERROR ,"Bridge: write 192.168.0.104:50059, C32, write: broken pipe"
2019-06-29 14:31:10.129 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:54962, C104, read: connection reset by peer"
2019-06-29 14:31:12.402 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:54992, C104, read: connection reset by peer"
2019-06-29 14:33:09.671 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:55020, C32, write: broken pipe"
2019-06-29 14:33:45.905 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:55192, C104, read: connection reset by peer"
2019-06-29 14:35:05.782 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:55390, C32, write: broken pipe"
2019-06-29 14:36:41.401 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:55514, C104, read: connection reset by peer"
2019-06-29 14:37:30.287 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:55662, C104, read: connection reset by peer"
2019-06-29 14:38:27.816 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:55734, C104, read: connection reset by peer"
2019-06-29 14:40:32.891 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:55932, C104, read: connection reset by peer"
2019-06-29 14:41:47.404 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56028, C104, read: connection reset by peer"
2019-06-29 14:42:46.308 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56110, C104, read: connection reset by peer"
2019-06-29 14:44:01.923 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56202, C104, read: connection reset by peer"
2019-06-29 14:44:01.923 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56200, C104, read: connection reset by peer"
2019-06-29 14:44:01.924 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56196, C104, read: connection reset by peer"
2019-06-29 14:44:04.413 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56244, C104, read: connection reset by peer"
2019-06-29 14:44:04.413 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:56240, C104, read: connection reset by peer"
2019-06-29 14:46:19.723 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:56224, C32, write: broken pipe"
2019-06-29 14:55:32.450 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57074, C32, write: broken pipe"
2019-06-29 14:56:17.760 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57158, C32, write: broken pipe"
2019-06-29 14:56:25.888 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57162, C104, read: connection reset by peer"
2019-06-29 14:56:40.485 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57174, C104, read: connection reset by peer"
2019-06-29 14:56:53.272 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57224, C104, read: connection reset by peer"
2019-06-29 14:56:58.872 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57224, C32, write: broken pipe"
2019-06-29 14:57:11.930 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57278, C32, write: broken pipe"
2019-06-29 14:57:30.114 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57294, C32, write: broken pipe"
2019-06-29 14:58:11.607 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57362, C32, write: broken pipe"
2019-06-29 14:58:22.756 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57378, C104, read: connection reset by peer"
2019-06-29 14:58:22.756 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57376, C104, read: connection reset by peer"
2019-06-29 14:58:22.756 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:57374, C104, read: connection reset by peer"
2019-06-29 14:59:34.724 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57592, C32, write: broken pipe"
2019-06-29 15:00:08.473 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57628, C32, write: broken pipe"
2019-06-29 15:01:03.455 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57694, C32, write: broken pipe"
2019-06-29 15:02:46.318 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57810, C32, write: broken pipe"
2019-06-29 15:04:10.668 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57912, C32, write: broken pipe"
2019-06-29 15:04:14.586 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:57936, C32, write: broken pipe"
2019-06-29 15:06:52.776 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58060, C32, write: broken pipe"
2019-06-29 15:06:52.889 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58062, C32, write: broken pipe"
2019-06-29 15:07:00.390 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58076, C32, write: broken pipe"
2019-06-29 15:07:32.122 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58154, C32, write: broken pipe"
2019-06-29 15:07:37.970 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58162, C32, write: broken pipe"
2019-06-29 15:07:45.850 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58170, C32, write: broken pipe"
2019-06-29 15:07:58.028 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58178, C32, write: broken pipe"
2019-06-29 15:08:21.111 CST,acl.go:42, ERROR ,ACL check error: DNS lookup failed: lookup connect.facebook.net on 127.0.1.1:53: no such host
2019-06-29 15:08:34.081 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58230, C104, read: connection reset by peer"
2019-06-29 15:08:34.082 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58240, C104, read: connection reset by peer"
2019-06-29 15:08:34.082 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58246, C104, read: connection reset by peer"
2019-06-29 15:08:34.082 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58310, C104, read: connection reset by peer"
2019-06-29 15:08:34.082 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58248, C104, read: connection reset by peer"
2019-06-29 15:08:34.082 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58252, C104, read: connection reset by peer"
2019-06-29 15:08:34.083 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58226, C104, read: connection reset by peer"
2019-06-29 15:08:34.083 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58280, C104, read: connection reset by peer"
2019-06-29 15:08:34.083 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58228, C104, read: connection reset by peer"
2019-06-29 15:08:34.895 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58330, C104, read: connection reset by peer"
2019-06-29 15:08:43.852 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58354, C104, read: connection reset by peer"
2019-06-29 15:08:52.901 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58376, C104, read: connection reset by peer"
2019-06-29 15:08:52.901 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58388, C104, read: connection reset by peer"
2019-06-29 15:09:10.743 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58426, C104, read: connection reset by peer"
2019-06-29 15:09:10.743 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58422, C104, read: connection reset by peer"
2019-06-29 15:09:10.743 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58434, C104, read: connection reset by peer"
2019-06-29 15:09:10.743 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58438, C104, read: connection reset by peer"
2019-06-29 15:09:10.743 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58424, C104, read: connection reset by peer"
2019-06-29 15:09:36.768 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58536, C104, read: connection reset by peer"
2019-06-29 15:09:36.768 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58534, C104, read: connection reset by peer"
2019-06-29 15:09:36.768 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58538, C104, read: connection reset by peer"
2019-06-29 15:09:40.486 CST,io.go:84, ERROR ,"Bridge: read 127.0.0.1:58532, C104, read: connection reset by peer"
2019-06-29 15:11:24.738 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58736, C32, write: broken pipe"
2019-06-29 15:11:30.727 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58744, C32, write: broken pipe"
2019-06-29 15:11:58.966 CST,io.go:68, ERROR ,"Bridge: write 127.0.0.1:58760, C32, write: broken pipe"
